Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate,Latitude,Longitude
7250,6,29,1,0,0.0,-37.8140846325,144.9829599565
7250,5,34,1,0,0.0,-37.8140846325,144.9829599565
7250,6,34,1,1,1.0,-37.8140846325,144.9829599565
7250,6,35,2,1,0.5,-37.8140846325,144.9829599565
7250,6,36,5,5,1.0,-37.8140846325,144.9829599565
7250,6,37,6,6,1.0,-37.8140846325,144.9829599565
7250,6,38,5,5,1.0,-37.8140846325,144.9829599565
7250,2,39,1,0,0.0,-37.8140846325,144.9829599565
7250,6,39,5,5,1.0,-37.8140846325,144.9829599565
7250,6,40,3,3,1.0,-37.8140846325,144.9829599565
7250,6,41,1,0,0.0,-37.8140846325,144.9829599565
7250,6,42,8,7,0.875,-37.8140846325,144.9829599565
7250,6,43,9,8,0.8889,-37.8140846325,144.9829599565
7250,6,44,13,13,1.0,-37.8140846325,144.9829599565
7250,6,45,6,5,0.8333,-37.8140846325,144.9829599565
7250,6,46,4,2,0.5,-37.8140846325,144.9829599565
7250,6,47,2,2,1.0,-37.8140846325,144.9829599565
7251,3,12,1,0,0.0,-37.8093632561,144.9811469951
7251,3,13,2,0,0.0,-37.8093632561,144.9811469951
7251,3,14,1,0,0.0,-37.8093632561,144.9811469951
7251,3,18,1,0,0.0,-37.8093632561,144.9811469951
7251,3,23,5,0,0.0,-37.8093632561,144.9811469951
7251,3,24,5,0,0.0,-37.8093632561,144.9811469951
7251,3,25,2,1,0.5,-37.8093632561,144.9811469951
