Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate
7480,3,32,1,1,1.0
7480,3,33,1,1,1.0
7485,2,29,1,1,1.0
7485,3,20,1,1,1.0
7485,3,21,1,1,1.0
7485,3,22,1,0,0.0
7485,3,23,4,0,0.0
7485,3,24,4,0,0.0
7485,3,25,1,0,0.0
7485,3,31,1,1,1.0
7486,3,24,2,1,0.5
7486,3,25,3,1,0.3333
7487,3,23,2,0,0.0
7487,3,24,1,0,0.0
7488,3,23,1,1,1.0
7488,3,24,1,1,1.0
7488,3,25,1,1,1.0
7497,1,20,1,0,0.0
7497,1,23,1,1,1.0
7498,3,14,1,0,0.0
7498,3,17,1,0,0.0
7498,3,19,1,0,0.0
7498,3,21,1,0,0.0
7498,3,22,2,0,0.0
7498,3,24,1,0,0.0
7498,3,25,4,0,0.0
7500,3,21,1,0,0.0
7500,3,22,1,0,0.0
7500,3,24,1,0,0.0
7502,1,12,1,0,0.0
7502,1,21,1,1,1.0
7502,1,23,2,1,0.5
7503,3,20,1,1,1.0
7503,3,21,1,1,1.0
7503,3,25,3,1,0.3333
7505,3,20,1,0,0.0
7505,3,23,1,0,0.0
7505,3,25,2,2,1.0
7506,3,19,1,0,0.0
7506,3,20,3,0,0.0
