Zone_Number,Latitude,Longitude,slot_0,slot_1,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_2,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_3,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_4,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_5,slot_6,slot_7,slot_8,slot_9
7394,-37.804837605,144.95918247,,,,,,,,,,,,,,0.0,0.25,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
7396,-37.811366181,144.9698914143,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,-37.813745875,144.9714379875,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,-37.8135091067,144.9711628467,,,,,,,,,,,,,,,,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7401,-37.8147231333,144.9716339667,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7402,-37.8143911933,144.9715979333,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
7406,-37.8078088035,144.9689769129,,,,,,,,,,,,0.5,,0.0,,0.0,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7411,-37.81246596,144.97083976,,,,,,,,,,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7412,-37.81535854,144.97080046,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
7413,-37.81276976,144.97089688,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7415,-37.8171209917,144.9632833167,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7416,-37.8176802833,144.9628510167,,,,,,,,,,,,,,,,,,0.3333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7417,-37.81968856,144.9560455467,,,,,,,,,,,0.0,,,,0.0,,0.0,0.3333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
