Zone_Number,weekday,slot_30,total_obs,availability_rate
7348,6,25,1,1.0
7348,6,27,3,0.6666666666666666
7348,6,29,1,1.0
7348,6,32,2,1.0
7348,6,33,2,0.5
7348,6,34,3,0.6666666666666666
7348,6,36,2,1.0
7348,6,37,2,0.0
7348,6,38,5,0.2
7350,6,34,1,1.0
7350,6,35,3,1.0
7350,6,37,2,0.5
7354,1,40,1,1.0
7354,3,26,1,1.0
7354,6,35,2,1.0
7354,6,37,1,1.0
7355,1,46,1,0.0
7355,6,32,1,1.0
7355,6,35,1,0.0
7355,6,36,4,0.75
7355,6,37,3,0.3333333333333333
7356,5,43,1,0.0
7356,6,34,3,0.3333333333333333
7356,6,36,1,1.0
7356,6,37,4,0.0
7357,6,30,1,0.0
7357,6,36,1,1.0
7357,6,38,1,0.0
7358,4,43,1,1.0
7358,6,33,1,0.0
7358,6,34,1,0.0
7358,6,36,1,0.0
7358,6,37,2,0.0
7359,6,34,3,0.0
7359,6,35,7,0.0
7359,6,36,4,0.0
7359,6,37,7,0.0
7359,6,38,2,0.0
7360,6,35,1,0.0
7360,6,36,1,0.0
7360,6,37,2,0.0
7360,6,38,1,0.0
7362,2,18,1,1.0
7362,3,34,1,1.0
7362,6,32,1,1.0
7362,6,34,2,0.0
7362,6,35,2,0.0
7362,6,36,2,1.0
7362,6,37,5,0.6
7362,6,38,4,0.75
7363,6,28,1,0.0
7363,6,34,1,0.0
7363,6,35,1,0.0
7365,6,31,1,0.0
7365,6,35,2,0.5
7365,6,36,3,0.3333333333333333
7365,6,37,2,1.0
7365,6,38,2,0.5
7366,6,33,1,0.0
7366,6,34,1,0.0
7366,6,35,1,0.0
7366,6,36,2,0.0
7366,6,37,5,0.4
7366,6,38,1,1.0
7368,6,29,1,0.0
7368,6,37,1,1.0
7377,0,19,1,0.0
7377,6,27,1,0.0
7377,6,37,2,0.0
7377,6,38,1,1.0
7379,6,35,1,0.0
7379,6,37,3,0.0
7389,6,37,2,0.5
7389,6,38,2,0.0
7389,6,47,1,1.0
7392,0,40,1,1.0
7392,1,14,1,1.0
7392,2,24,1,1.0
7392,2,28,3,1.0
7392,2,29,1,1.0
7392,2,38,1,1.0
7392,3,13,1,1.0
7392,3,15,1,1.0
7392,5,45,1,1.0
7392,6,26,1,1.0
7392,6,35,1,1.0
7392,6,42,1,1.0
7394,2,20,1,0.0
7394,2,21,4,0.25
7394,2,27,1,0.0
7394,5,28,1,1.0
7394,6,28,1,1.0
7394,6,36,1,1.0
7394,6,42,1,1.0
7396,6,16,1,1.0
7396,6,22,1,1.0
7396,6,36,1,1.0
7399,6,36,3,0.0
7400,6,34,1,0.0
7400,6,35,2,0.0
7400,6,37,1,0.0
7400,6,38,1,0.0
7401,6,34,1,0.0
7401,6,35,1,0.0
7401,6,37,1,0.0
7402,1,38,1,0.0
7402,6,34,1,0.0
7402,6,36,1,0.0
7402,6,37,3,0.0
7406,6,34,2,0.0
7406,6,35,1,0.0
7406,6,36,8,0.0
7406,6,37,3,0.0
7406,6,38,3,0.3333333333333333
7411,6,35,2,0.0
7411,6,37,2,0.0
7412,3,37,1,1.0
7412,6,3,1,0.0
7412,6,31,1,0.0
7412,6,33,1,0.0
7412,6,37,1,0.0
7413,6,36,1,0.0
7413,6,37,2,0.5
7415,6,30,1,0.0
7415,6,35,2,0.5
7416,6,31,1,0.0
7416,6,36,2,0.0
7416,6,37,3,0.0
7417,6,27,1,1.0
7417,6,32,1,1.0
7417,6,35,1,0.0
7417,6,36,3,0.6666666666666666
7417,6,37,3,0.0
7417,6,38,1,0.0
7418,5,21,1,1.0
7418,6,34,1,0.0
7418,6,36,3,0.6666666666666666
7418,6,37,5,0.2
7423,3,43,1,1.0
7423,6,35,1,0.0
7423,6,36,1,1.0
7423,6,37,2,0.5
7423,6,38,2,1.0
7425,6,37,3,0.6666666666666666
7428,6,36,1,0.0
7428,6,37,1,1.0
7431,2,30,1,1.0
7434,4,0,1,1.0
7434,6,27,1,0.0
7434,6,35,1,1.0
7434,6,37,3,0.0
7434,6,38,1,1.0
7436,5,27,1,1.0
7436,6,36,2,0.5
7436,6,37,5,0.4
7438,5,35,1,0.0
7438,6,32,1,0.0
7438,6,35,2,0.0
7438,6,36,1,0.0
7438,6,37,5,0.2
7446,6,36,1,0.0
7446,6,37,1,0.0
7450,1,24,1,1.0
7450,5,32,1,0.0
7450,6,31,1,0.0
7450,6,37,2,0.0
7451,6,36,1,1.0
7451,6,37,5,0.0
7451,6,38,1,1.0
7452,5,40,1,1.0
7452,5,45,1,1.0
7452,6,35,2,0.0
7452,6,36,1,0.0
7454,6,32,1,0.0
7454,6,35,1,0.0
7454,6,37,2,0.0
7455,5,21,1,1.0
7455,6,30,1,0.0
7455,6,36,1,1.0
7455,6,37,1,1.0
7455,6,38,1,1.0
7457,6,34,2,0.0
7457,6,35,2,0.0
7458,2,27,1,0.0
7458,2,30,1,0.0
7458,6,32,1,0.0
7458,6,38,1,0.0
7459,2,30,1,0.0
7459,6,36,2,1.0
7474,6,17,1,1.0
7474,6,32,2,1.0
7474,6,34,2,1.0
7474,6,35,1,1.0
7474,6,36,3,1.0
7474,6,37,2,0.5
7476,6,34,1,1.0
7476,6,35,1,0.0
7478,6,35,1,1.0
7478,6,36,1,1.0
7478,6,38,1,0.0
7479,6,13,1,0.0
7479,6,35,1,0.0
7479,6,37,1,0.0
7480,3,32,1,1.0
7480,3,33,1,1.0
7485,3,31,1,1.0
7485,6,33,1,1.0
7485,6,34,1,0.0
7485,6,35,3,1.0
7485,6,36,2,0.0
7485,6,37,5,0.8
7485,6,38,1,1.0
7486,6,30,1,0.0
7486,6,35,1,0.0
7486,6,37,3,0.6666666666666666
7487,6,35,1,0.0
7487,6,36,2,0.5
7488,6,36,2,0.5
7488,6,37,1,1.0
7494,0,25,3,0.3333333333333333
7495,0,22,1,0.0
