KerbsideID,weekday,slot_30,total_obs,availability_rate
17464,6,36,1,0.0
17465,6,35,1,0.0
17466,6,35,1,0.0
17470,6,36,1,0.0
17471,6,34,1,1.0
17472,6,35,1,0.0
17473,6,34,1,1.0
17474,6,34,1,0.0
17475,6,35,1,0.0
17476,6,27,1,0.0
17481,3,39,1,1.0
17482,6,24,1,1.0
17483,0,15,1,1.0
17487,6,37,1,0.0
17488,6,31,1,0.0
17489,6,31,1,1.0
17490,6,33,1,1.0
17491,6,32,1,1.0
17492,5,46,1,1.0
17493,6,32,1,1.0
17494,5,47,1,0.0
17497,6,33,1,0.0
17498,6,31,1,1.0
17499,1,21,1,0.0
17500,6,30,1,1.0
17502,6,34,1,0.0
17503,6,25,1,0.0
17504,6,34,1,0.0
17505,6,33,1,0.0
17506,6,33,1,0.0
17507,6,34,1,0.0
17508,6,35,1,0.0
17509,6,32,1,0.0
17510,6,29,1,0.0
17511,6,34,1,0.0
17512,1,29,1,1.0
17513,6,35,1,0.0
17514,6,35,1,0.0
17515,6,35,1,0.0
17516,6,35,1,0.0
17517,6,35,1,0.0
17518,6,33,1,1.0
17546,6,29,1,1.0
17547,6,39,1,1.0
17548,6,37,1,1.0
17549,6,32,1,1.0
17550,6,36,1,1.0
17551,6,46,1,1.0
17552,5,46,1,0.0
17553,6,25,1,1.0
17554,5,27,1,1.0
17555,6,46,1,0.0
17556,6,25,1,0.0
17557,5,30,1,0.0
17558,6,33,1,1.0
17559,6,37,1,0.0
17560,6,33,1,1.0
17561,6,44,1,1.0
17562,6,27,1,0.0
17563,6,5,1,0.0
17564,6,25,1,1.0
17565,5,31,1,0.0
17566,6,40,1,1.0
17567,2,19,1,0.0
17568,6,33,1,1.0
17569,6,18,1,0.0
17570,6,40,1,1.0
17693,3,3,1,1.0
17694,6,36,1,0.0
17695,2,11,1,0.0
17696,2,26,1,1.0
17697,2,11,1,0.0
17698,2,20,1,0.0
17706,6,31,1,0.0
17708,6,35,1,0.0
17709,6,35,1,0.0
17710,6,26,1,0.0
17711,6,34,1,0.0
17712,5,39,1,1.0
17713,6,29,1,0.0
17714,6,20,1,1.0
17716,6,33,1,1.0
17717,6,33,1,0.0
17718,6,32,1,0.0
17719,6,32,1,0.0
17720,6,18,1,1.0
17824,6,35,1,1.0
17825,6,36,1,1.0
17827,6,36,1,1.0
17828,6,38,1,0.0
17829,6,41,1,0.0
17830,6,34,1,1.0
17831,6,36,1,1.0
17832,6,33,1,1.0
17833,6,34,1,1.0
17834,6,36,1,1.0
17835,6,32,1,1.0
17836,6,41,1,1.0
17837,6,34,1,1.0
17838,6,32,1,1.0
17839,6,36,1,1.0
17840,6,36,1,1.0
17841,5,38,1,0.0
17842,6,36,1,1.0
17843,6,36,1,1.0
17844,6,37,1,1.0
17846,6,34,1,1.0
17919,6,36,1,1.0
17920,6,36,1,1.0
17921,6,38,1,1.0
17922,6,46,1,1.0
17923,6,47,1,1.0
17924,6,45,1,0.0
17925,6,36,1,1.0
17926,6,32,1,1.0
17927,4,33,1,0.0
17928,5,31,1,1.0
17929,6,36,1,1.0
17930,6,29,1,0.0
17931,6,36,1,1.0
17932,6,28,1,1.0
17933,6,36,1,1.0
17934,6,36,1,1.0
17935,6,34,1,1.0
17936,6,36,1,1.0
17937,6,30,1,1.0
17938,6,30,1,1.0
17939,6,37,1,1.0
17940,6,30,1,1.0
17941,6,37,1,1.0
17942,6,44,1,1.0
17949,1,21,1,0.0
17950,1,23,1,0.0
17951,1,23,1,0.0
17952,1,22,1,0.0
17953,1,22,1,0.0
17954,1,21,1,0.0
17955,1,20,1,0.0
17956,1,23,1,0.0
17957,1,23,1,0.0
17958,1,15,1,0.0
17959,5,0,1,1.0
17960,0,36,1,1.0
17961,6,35,1,0.0
17962,6,38,1,0.0
17963,6,36,1,0.0
17964,6,24,1,0.0
18040,4,9,1,1.0
18065,6,35,1,0.0
18066,6,37,1,0.0
18074,2,29,1,0.0
18075,2,13,1,0.0
18076,2,35,1,1.0
18077,2,28,1,0.0
18078,2,13,1,0.0
18110,6,33,1,0.0
18111,6,33,1,1.0
18112,6,32,1,1.0
18113,6,34,1,1.0
18142,1,27,1,0.0
18143,6,33,1,1.0
18144,6,36,1,1.0
18146,6,36,1,1.0
18147,6,38,1,1.0
18148,6,35,1,1.0
18149,6,38,1,1.0
18150,6,32,1,1.0
18154,6,36,1,1.0
18165,2,29,1,1.0
18166,2,14,1,0.0
18167,2,13,1,0.0
18168,2,27,1,0.0
18169,2,13,1,0.0
18170,2,23,1,0.0
18204,6,36,1,1.0
18205,6,35,1,0.0
18215,2,29,1,0.0
18216,2,30,1,0.0
18217,2,27,1,0.0
18218,6,44,1,0.0
18219,6,44,1,1.0
18220,6,41,1,1.0
18524,4,42,1,0.0
18525,0,23,1,1.0
18526,0,30,1,1.0
18527,4,38,1,0.0
18530,1,44,1,1.0
18531,1,45,1,1.0
18532,1,42,1,1.0
18533,1,36,1,0.0
18534,1,45,1,1.0
18540,5,18,1,1.0
18541,2,32,1,1.0
18542,2,31,1,1.0
18543,2,27,1,0.0
18554,1,44,1,1.0
18555,1,45,1,1.0
