KerbsideID,Latitude,Longitude,RoadSegmentDescription,Zone_Number
17562,-37.8109052,144.9872651,Albert Street between Simpson Street and Powlett Street,7246.0
17549,-37.8110014,144.9881426,Albert Street between Simpson Street and Powlett Street,7246.0
17564,-37.8108904,144.9871301,Albert Street between Simpson Street and Powlett Street,7246.0
25124,-37.811135,144.983309,Clarendon Street between Grey Street and Albert Street,7250.0
25122,-37.8112386,144.983292,Clarendon Street between Grey Street and Albert Street,7250.0
25113,-37.8120381,144.9831574,Clarendon Street between Gipps Street and Grey Street,7250.0
25091,-37.8132773,144.98295,Clarendon Street between Hotham Street and Gipps Street,7250.0
25085,-37.8135879,144.9828969,Clarendon Street between Hotham Street and Gipps Street,7250.0
25073,-37.8141024,144.9828091,Clarendon Street between George Street and Hotham Street,7250.0
25064,-37.815032,144.9826496,Clarendon Street between Wellington Parade and George Street,7250.0
25061,-37.8151878,144.982623,Clarendon Street between Wellington Parade and George Street,7250.0
25056,-37.8154455,144.9825788,Clarendon Street between Wellington Parade and George Street,7250.0
,-37.8155979,144.9825528,Clarendon Street between Wellington Parade and George Street,7250.0
,-37.8033196,144.9572512,O'Connell Street between Queensberry Street and Peel Street,7392.0
,-37.8138987,144.9526628,Little Lonsdale Street between King Street and Spencer Street,7621.0
,-37.8139675,144.9525973,Little Lonsdale Street between King Street and Spencer Street,7621.0
17380,-37.8093411,144.9809898,Eades Street between Victoria Parade and Albert Street,7252.0
63067,-37.815617,144.9623491,Little Collins Street between Elizabeth Street and Queen Street,7333.0
68042,-37.8101196,144.9580339,A'Beckett Street between Wills Street and Queen Street,7705.0
,-37.8109376,144.9454502,Railway Place between Rosslyn Street and Stanley Street,
,-37.8145719,144.954613,Lonsdale Street between King Street and Spencer Street,7571.0
,-37.8141713,144.9774855,Lansdowne Street between Wellington Parade and St Andrews Place,7264.0
10973,-37.8140324,144.9777415,Lansdowne Street between Wellington Parade and St Andrews Place,7264.0
,-37.8162195,144.9777505,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8160725,144.9766599,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8158119,144.9747461,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8163288,144.9776191,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8161917,144.9766798,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8162187,144.9768752,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
,-37.8160998,144.9759996,Wellington Parade South between Wellington Crescent and Flinders Street,7301.0
